group	position	instrumenttype	tones	extended_tones	strokes	patterns	rests
SEMAR_PAGULINGAN	GENDERRAMBAT	GENDERRAMBAT	[(DING, 1), (DONG, 1), (DENG, 1), (DEUNG, 1), (DUNG, 1), (DANG, 1), (DAING, 1)]	[(DING, 0), (DONG, 0), (DENG, 0), (DEUNG, 0), (DUNG, 0), (DANG, 0), (DAING, 0)]	[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
SEMAR_PAGULINGAN	PEMADE_POLOS	PEMADE	[(DING, 1), (DONG, 1), (DENG, 1), (DEUNG, 1), (DUNG, 1), (DANG, 1), (DAING, 1)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
SEMAR_PAGULINGAN	PEMADE_SANGSIH	PEMADE	[(DING, 1), (DONG, 1), (DENG, 1), (DEUNG, 1), (DUNG, 1), (DANG, 1), (DAING, 1)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
SEMAR_PAGULINGAN	KANTILAN_POLOS	KANTILAN	[(DING, 1), (DONG, 1), (DENG, 1), (DEUNG, 1), (DUNG, 1), (DANG, 1), (DAING, 1)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
SEMAR_PAGULINGAN	KANTILAN_SANGSIH	KANTILAN	[(DING, 1), (DONG, 1), (DENG, 1), (DEUNG, 1), (DUNG, 1), (DANG, 1), (DAING, 1)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
SEMAR_PAGULINGAN	CALUNG	CALUNG	[(DING, 1), (DONG, 1), (DENG, 1), (DEUNG, 1), (DUNG, 1), (DANG, 1), (DAING, 1)]		[OPEN, ABBREVIATED, MUTED]	[TREMOLO, TREMOLO_ACCELERATING,]	[EXTENSION, SILENCE]
SEMAR_PAGULINGAN	JEGOGAN	JEGOGAN	[(DING, 1), (DONG, 1), (DENG, 1), (DEUNG, 1), (DUNG, 1), (DANG, 1), (DAING, 1)]		[OPEN, ABBREVIATED, MUTED]	[TREMOLO, TREMOLO_ACCELERATING,]	[EXTENSION, SILENCE]
SEMAR_PAGULINGAN	CENGCENG	CENGCENG	[(STRIKE, None)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING]	[EXTENSION, SILENCE]
SEMAR_PAGULINGAN	KENDANG	KENDANG	[(KA, None), (PAK, None), (DE, None), (TUT, None), (CUNG, None), (KUNG, None)]		[OPEN, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING]	[EXTENSION, SILENCE]
SEMAR_PAGULINGAN	KEMPLI	KEMPLI	[(STRIKE, None)]		[OPEN, ABBREVIATED, MUTED]	[TREMOLO, TREMOLO_ACCELERATING]	[EXTENSION, SILENCE]
SEMAR_PAGULINGAN	GONGS	GONGS	[(GIR, None), (PUR, None), (TONG, None)]		[OPEN, ABBREVIATED, MUTED]	[TREMOLO, TREMOLO_ACCELERATING]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	TROMPONG	TROMPONG	[(DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2), (DONG, 2), (DENG, 2), (DUNG, 2)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	GENDERRAMBAT	GENDERRAMBAT	[(DONG, 0), (DENG, 0), (DUNG, 0), (DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2)]	[(DONG, 2), (DENG, 2), (DUNG, 2), (DANG, 2)]	[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	PEMADE_POLOS	PEMADE	[(DONG, 0), (DENG, 0), (DUNG, 0), (DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	PEMADE_SANGSIH	PEMADE	[(DONG, 0), (DENG, 0), (DUNG, 0), (DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	KANTILAN_POLOS	KANTILAN	[(DONG, 0), (DENG, 0), (DUNG, 0), (DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	KANTILAN_SANGSIH	KANTILAN	[(DONG, 0), (DENG, 0), (DUNG, 0), (DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	CALUNG	CALUNG	[(DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1)]		[OPEN, ABBREVIATED, MUTED]	[TREMOLO, TREMOLO_ACCELERATING,]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	JEGOGAN	JEGOGAN	[(DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1)]		[OPEN, ABBREVIATED, MUTED]	[TREMOLO, TREMOLO_ACCELERATING,]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	PENYACAH	PENYACAH	[(DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1)]		[OPEN, ABBREVIATED, MUTED]	[TREMOLO, TREMOLO_ACCELERATING,]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	CENGCENG	CENGCENG	[(STRIKE, None)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	KENDANG	KENDANG	[(KA, None), (PAK, None), (DE, None), (TUT, None), (CUNG, None), (KUNG, None)]		[OPEN, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	KEMPLI	KEMPLI	[(STRIKE, None)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING]	[EXTENSION, SILENCE]
GONG_PELEGONGAN	GONGS	GONGS			[OPEN]		
GENDER_WAYANG	GENDERWAYANG_POLOS	GENDERWAYANG			[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	
GENDER_WAYANG	GENDERWAYANG_SANGSIH	GENDERWAYANG			[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	
