instrumenttype	position	symbol	pitch	octave	stroke	duration	rest_after	modifier	midinote	rootnote	sample	note_value
KANTILAN	KANTILAN_SANGSIH	a,/	DANG	0	ABBREVIATED	1.0	0.0	NONE	[14]	GK KANTILAN ROOT		1.0
UGAL	UGAL	a,/	DANG	0	ABBREVIATED	1.0	0.0	NONE	[14]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	a,/	DANG	0	ABBREVIATED	1.0	0.0	NONE	[52]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	a,/	DANG	0	ABBREVIATED	1.0	0.0	NONE	[18]	GK GENDER ROOT		1.0
REYONG	REYONG_1	a,/	DANG	0	ABBREVIATED	1.0	0.0	NONE	[15]	GK REYONG ROOT		1.0
REYONG	REYONG_2	a,/	DANG	0	ABBREVIATED	1.0	0.0	NONE	[15]	GK REYONG ROOT		1.0
PEMADE	PEMADE_POLOS	a,	DANG	0	GRACE_NOTE	1.0	0.0	NONE	[4]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	a,	DANG	0	GRACE_NOTE	1.0	0.0	NONE	[4]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	a,	DANG	0	GRACE_NOTE	1.0	0.0	NONE	[4]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	a,	DANG	0	GRACE_NOTE	1.0	0.0	NONE	[4]	GK KANTILAN ROOT		1.0
UGAL	UGAL	a,	DANG	0	GRACE_NOTE	1.0	0.0	NONE	[4]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	a,	DANG	0	GRACE_NOTE	1.0	0.0	NONE	[41]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	a,	DANG	0	GRACE_NOTE	1.0	0.0	NONE	[4]	GK GENDER ROOT		1.0
REYONG	REYONG_1	a,	DANG	0	GRACE_NOTE	1.0	0.0	NONE	[3]	GK REYONG ROOT		1.0
REYONG	REYONG_2	a,	DANG	0	GRACE_NOTE	1.0	0.0	NONE	[3]	GK REYONG ROOT		1.0
PENYACAH	PENYACAH	a,?	DANG	0	MUTED	1.0	0.0	NONE	[36]	GK PENYACAH ROOT		1.0
PEMADE	PEMADE_POLOS	a,?	DANG	0	MUTED	1.0	0.0	NONE	[24]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	a,?	DANG	0	MUTED	1.0	0.0	NONE	[24]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	a,?	DANG	0	MUTED	1.0	0.0	NONE	[24]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	a,?	DANG	0	MUTED	1.0	0.0	NONE	[24]	GK KANTILAN ROOT		1.0
UGAL	UGAL	a,?	DANG	0	MUTED	1.0	0.0	NONE	[24]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	a,?	DANG	0	MUTED	1.0	0.0	NONE	[63]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	a,?	DANG	0	MUTED	1.0	0.0	NONE	[32]	GK GENDER ROOT		1.0
REYONG	REYONG_1	a,?	DANG	0	MUTED	1.0	0.0	NONE	[27]	GK REYONG ROOT		1.0
REYONG	REYONG_2	a,?	DANG	0	MUTED	1.0	0.0	NONE	[27]	GK REYONG ROOT		1.0
PENYACAH	PENYACAH	a,	DANG	0	OPEN	1.0	0.0	NONE	[22]	GK PENYACAH ROOT		1.0
PEMADE	PEMADE_POLOS	a,	DANG	0	OPEN	1.0	0.0	NONE	[4]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	a,	DANG	0	OPEN	1.0	0.0	NONE	[4]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	a,	DANG	0	OPEN	1.0	0.0	NONE	[4]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	a,	DANG	0	OPEN	1.0	0.0	NONE	[4]	GK KANTILAN ROOT		1.0
UGAL	UGAL	a,	DANG	0	OPEN	1.0	0.0	NONE	[4]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	a,	DANG	0	OPEN	1.0	0.0	NONE	[41]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	a,	DANG	0	OPEN	1.0	0.0	NONE	[4]	GK GENDER ROOT		1.0
REYONG	REYONG_1	a,	DANG	0	OPEN	1.0	0.0	NONE	[3]	GK REYONG ROOT		1.0
REYONG	REYONG_2	a,	DANG	0	OPEN	1.0	0.0	NONE	[3]	GK REYONG ROOT		1.0
JEGOGAN	JEGOGAN	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[10]	GK JEGOGAN ROOT		1.0
CALUNG	CALUNG	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[10]	GK CALUNG ROOT		1.0
PENYACAH	PENYACAH	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[34]	GK PENYACAH ROOT		1.0
PEMADE	PEMADE_POLOS	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[19]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[19]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[19]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[19]	GK KANTILAN ROOT		1.0
UGAL	UGAL	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[19]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[57]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[23]	GK GENDER ROOT		1.0
REYONG	REYONG_3	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[20]	GK REYONG ROOT		1.0
REYONG	REYONG_4	a/	DANG	1	ABBREVIATED	1.0	0.0	NONE	[20]	GK REYONG ROOT		1.0
PEMADE	PEMADE_POLOS	A	DANG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[9]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	A	DANG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[9]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	A	DANG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[9]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	A	DANG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[9]	GK KANTILAN ROOT		1.0
UGAL	UGAL	A	DANG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[9]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	A	DANG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[46]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	A	DANG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[9]	GK GENDER ROOT		1.0
REYONG	REYONG_3	A	DANG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[8]	GK REYONG ROOT		1.0
REYONG	REYONG_4	A	DANG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[8]	GK REYONG ROOT		1.0
JEGOGAN	JEGOGAN	a?	DANG	1	MUTED	1.0	0.0	NONE	[15]	GK JEGOGAN ROOT		1.0
CALUNG	CALUNG	a?	DANG	1	MUTED	1.0	0.0	NONE	[15]	GK CALUNG ROOT		1.0
PENYACAH	PENYACAH	a?	DANG	1	MUTED	1.0	0.0	NONE	[41]	GK PENYACAH ROOT		1.0
PEMADE	PEMADE_POLOS	a?	DANG	1	MUTED	1.0	0.0	NONE	[29]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	a?	DANG	1	MUTED	1.0	0.0	NONE	[29]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	a?	DANG	1	MUTED	1.0	0.0	NONE	[29]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	a?	DANG	1	MUTED	1.0	0.0	NONE	[29]	GK KANTILAN ROOT		1.0
UGAL	UGAL	a?	DANG	1	MUTED	1.0	0.0	NONE	[29]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	a?	DANG	1	MUTED	1.0	0.0	NONE	[68]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	a?	DANG	1	MUTED	1.0	0.0	NONE	[37]	GK GENDER ROOT		1.0
REYONG	REYONG_3	a?	DANG	1	MUTED	1.0	0.0	NONE	[32]	GK REYONG ROOT		1.0
REYONG	REYONG_4	a?	DANG	1	MUTED	1.0	0.0	NONE	[32]	GK REYONG ROOT		1.0
JEGOGAN	JEGOGAN	a	DANG	1	OPEN	1.0	0.0	NONE	[5]	GK JEGOGAN ROOT		1.0
CALUNG	CALUNG	a	DANG	1	OPEN	1.0	0.0	NONE	[5]	GK CALUNG ROOT		1.0
PENYACAH	PENYACAH	a	DANG	1	OPEN	1.0	0.0	NONE	[27]	GK PENYACAH ROOT		1.0
PEMADE	PEMADE_POLOS	a	DANG	1	OPEN	1.0	0.0	NONE	[9]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	a	DANG	1	OPEN	1.0	0.0	NONE	[9]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	a	DANG	1	OPEN	1.0	0.0	NONE	[9]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	a	DANG	1	OPEN	1.0	0.0	NONE	[9]	GK KANTILAN ROOT		1.0
UGAL	UGAL	a	DANG	1	OPEN	1.0	0.0	NONE	[9]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	a	DANG	1	OPEN	1.0	0.0	NONE	[46]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	a	DANG	1	OPEN	1.0	0.0	NONE	[9]	GK GENDER ROOT		1.0
REYONG	REYONG_3	a	DANG	1	OPEN	1.0	0.0	NONE	[8]	GK REYONG ROOT		1.0
REYONG	REYONG_4	a	DANG	1	OPEN	1.0	0.0	NONE	[8]	GK REYONG ROOT		1.0
TROMPONG	TROMPONG	a</	DANG	2	ABBREVIATED	1.0	0.0	NONE	[62]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	a</	DANG	2	ABBREVIATED	1.0	0.0	NONE	[28]	GK GENDER ROOT		1.0
TROMPONG	TROMPONG	a<	DANG	2	GRACE_NOTE	1.0	0.0	NONE	[51]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	a<	DANG	2	GRACE_NOTE	1.0	0.0	NONE	[14]	GK GENDER ROOT		1.0
TROMPONG	TROMPONG	a<?	DANG	2	MUTED	1.0	0.0	NONE	[73]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	a<?	DANG	2	MUTED	1.0	0.0	NONE	[42]	GK GENDER ROOT		1.0
TROMPONG	TROMPONG	a<	DANG	2	OPEN	1.0	0.0	NONE	[51]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	a<	DANG	2	OPEN	1.0	0.0	NONE	[14]	GK GENDER ROOT		1.0
KENDANG	KENDANG	9?	DE	None	MUTED	1.0	0.0	NONE	[3]	GK KENDANG DE	GK Kendang DE wadon.wav	1.0
KENDANG	KENDANG	9	DE	None	OPEN	1.0	0.0	NONE	[3]	GK KENDANG DE	GK Kendang DE wadon.wav	1.0
PEMADE	PEMADE_POLOS	e,/	DENG	0	ABBREVIATED	1.0	0.0	NONE	[12]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	e,/	DENG	0	ABBREVIATED	1.0	0.0	NONE	[12]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	e,/	DENG	0	ABBREVIATED	1.0	0.0	NONE	[12]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	e,/	DENG	0	ABBREVIATED	1.0	0.0	NONE	[12]	GK KANTILAN ROOT		1.0
UGAL	UGAL	e,/	DENG	0	ABBREVIATED	1.0	0.0	NONE	[12]	GK UGAL ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	e,/	DENG	0	ABBREVIATED	1.0	0.0	NONE	[16]	GK GENDER ROOT		1.0
REYONG	REYONG_1	e,/	DENG	0	ABBREVIATED	1.0	0.0	NONE	[13]	GK REYONG ROOT		1.0
PEMADE	PEMADE_POLOS	e,	DENG	0	GRACE_NOTE	1.0	0.0	NONE	[2]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	e,	DENG	0	GRACE_NOTE	1.0	0.0	NONE	[2]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	e,	DENG	0	GRACE_NOTE	1.0	0.0	NONE	[2]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	e,	DENG	0	GRACE_NOTE	1.0	0.0	NONE	[2]	GK KANTILAN ROOT		1.0
UGAL	UGAL	e,	DENG	0	GRACE_NOTE	1.0	0.0	NONE	[2]	GK UGAL ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	e,	DENG	0	GRACE_NOTE	1.0	0.0	NONE	[2]	GK GENDER ROOT		1.0
REYONG	REYONG_1	e,	DENG	0	GRACE_NOTE	1.0	0.0	NONE	[1]	GK REYONG ROOT		1.0
PEMADE	PEMADE_POLOS	e,?	DENG	0	MUTED	1.0	0.0	NONE	[22]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	e,?	DENG	0	MUTED	1.0	0.0	NONE	[22]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	e,?	DENG	0	MUTED	1.0	0.0	NONE	[22]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	e,?	DENG	0	MUTED	1.0	0.0	NONE	[22]	GK KANTILAN ROOT		1.0
UGAL	UGAL	e,?	DENG	0	MUTED	1.0	0.0	NONE	[22]	GK UGAL ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	e,?	DENG	0	MUTED	1.0	0.0	NONE	[30]	GK GENDER ROOT		1.0
REYONG	REYONG_1	e,?	DENG	0	MUTED	1.0	0.0	NONE	[25]	GK REYONG ROOT		1.0
PEMADE	PEMADE_POLOS	e,	DENG	0	OPEN	1.0	0.0	NONE	[2]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	e,	DENG	0	OPEN	1.0	0.0	NONE	[2]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	e,	DENG	0	OPEN	1.0	0.0	NONE	[2]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	e,	DENG	0	OPEN	1.0	0.0	NONE	[2]	GK KANTILAN ROOT		1.0
UGAL	UGAL	e,	DENG	0	OPEN	1.0	0.0	NONE	[2]	GK UGAL ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	e,	DENG	0	OPEN	1.0	0.0	NONE	[2]	GK GENDER ROOT		1.0
REYONG	REYONG_1	e,	DENG	0	OPEN	1.0	0.0	NONE	[1]	GK REYONG ROOT		1.0
JEGOGAN	JEGOGAN	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[8]	GK JEGOGAN ROOT		1.0
CALUNG	CALUNG	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[8]	GK CALUNG ROOT		1.0
PENYACAH	PENYACAH	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[32]	GK PENYACAH ROOT		1.0
PEMADE	PEMADE_POLOS	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[17]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[17]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[17]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[17]	GK KANTILAN ROOT		1.0
UGAL	UGAL	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[17]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[55]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[21]	GK GENDER ROOT		1.0
REYONG	REYONG_2	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[18]	GK REYONG ROOT		1.0
REYONG	REYONG_3	e/	DENG	1	ABBREVIATED	1.0	0.0	NONE	[18]	GK REYONG ROOT		1.0
PEMADE	PEMADE_POLOS	E	DENG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[7]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	E	DENG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[7]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	E	DENG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[7]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	E	DENG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[7]	GK KANTILAN ROOT		1.0
UGAL	UGAL	E	DENG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[7]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	E	DENG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[44]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	E	DENG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[7]	GK GENDER ROOT		1.0
REYONG	REYONG_2	E	DENG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[6]	GK REYONG ROOT		1.0
REYONG	REYONG_3	E	DENG	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[6]	GK REYONG ROOT		1.0
JEGOGAN	JEGOGAN	e?	DENG	1	MUTED	1.0	0.0	NONE	[13]	GK JEGOGAN ROOT		1.0
CALUNG	CALUNG	e?	DENG	1	MUTED	1.0	0.0	NONE	[13]	GK CALUNG ROOT		1.0
PENYACAH	PENYACAH	e?	DENG	1	MUTED	1.0	0.0	NONE	[39]	GK PENYACAH ROOT		1.0
PEMADE	PEMADE_POLOS	e?	DENG	1	MUTED	1.0	0.0	NONE	[27]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	e?	DENG	1	MUTED	1.0	0.0	NONE	[27]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	e?	DENG	1	MUTED	1.0	0.0	NONE	[27]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	e?	DENG	1	MUTED	1.0	0.0	NONE	[27]	GK KANTILAN ROOT		1.0
UGAL	UGAL	e?	DENG	1	MUTED	1.0	0.0	NONE	[27]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	e?	DENG	1	MUTED	1.0	0.0	NONE	[66]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	e?	DENG	1	MUTED	1.0	0.0	NONE	[35]	GK GENDER ROOT		1.0
REYONG	REYONG_2	e?	DENG	1	MUTED	1.0	0.0	NONE	[30]	GK REYONG ROOT		1.0
REYONG	REYONG_3	e?	DENG	1	MUTED	1.0	0.0	NONE	[30]	GK REYONG ROOT		1.0
JEGOGAN	JEGOGAN	e	DENG	1	OPEN	1.0	0.0	NONE	[3]	GK JEGOGAN ROOT		1.0
CALUNG	CALUNG	e	DENG	1	OPEN	1.0	0.0	NONE	[3]	GK CALUNG ROOT	GK CALUNG DENG2.wav	1.0
PENYACAH	PENYACAH	e	DENG	1	OPEN	1.0	0.0	NONE	[25]	GK PENYACAH ROOT		1.0
PEMADE	PEMADE_POLOS	e	DENG	1	OPEN	1.0	0.0	NONE	[7]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	e	DENG	1	OPEN	1.0	0.0	NONE	[7]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	e	DENG	1	OPEN	1.0	0.0	NONE	[7]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	e	DENG	1	OPEN	1.0	0.0	NONE	[7]	GK KANTILAN ROOT		1.0
UGAL	UGAL	e	DENG	1	OPEN	1.0	0.0	NONE	[7]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	e	DENG	1	OPEN	1.0	0.0	NONE	[44]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	e	DENG	1	OPEN	1.0	0.0	NONE	[7]	GK GENDER ROOT		1.0
REYONG	REYONG_2	e	DENG	1	OPEN	1.0	0.0	NONE	[6]	GK REYONG ROOT	GK REYONG DENG3.wav	1.0
REYONG	REYONG_3	e	DENG	1	OPEN	1.0	0.0	NONE	[6]	GK REYONG ROOT	GK REYONG DENG3.wav	1.0
TROMPONG	TROMPONG	e</	DENG	2	ABBREVIATED	1.0	0.0	NONE	[60]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	e</	DENG	2	ABBREVIATED	1.0	0.0	NONE	[26]	GK GENDER ROOT		1.0
REYONG	REYONG_4	e</	DENG	2	ABBREVIATED	1.0	0.0	NONE	[23]	GK REYONG ROOT		1.0
TROMPONG	TROMPONG	e<	DENG	2	GRACE_NOTE	1.0	0.0	NONE	[49]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	e<	DENG	2	GRACE_NOTE	1.0	0.0	NONE	[12]	GK GENDER ROOT		1.0
REYONG	REYONG_4	e<	DENG	2	GRACE_NOTE	1.0	0.0	NONE	[11]	GK REYONG ROOT		1.0
TROMPONG	TROMPONG	e<?	DENG	2	MUTED	1.0	0.0	NONE	[71]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	e<?	DENG	2	MUTED	1.0	0.0	NONE	[40]	GK GENDER ROOT		1.0
REYONG	REYONG_4	e<?	DENG	2	MUTED	1.0	0.0	NONE	[35]	GK REYONG ROOT		1.0
TROMPONG	TROMPONG	e<	DENG	2	OPEN	1.0	0.0	NONE	[49]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	e<	DENG	2	OPEN	1.0	0.0	NONE	[12]	GK GENDER ROOT		1.0
REYONG	REYONG_4	e<	DENG	2	OPEN	1.0	0.0	NONE	[11]	GK REYONG ROOT		1.0
REYONG	REYONG_1	t/	DENGDING	None	ABBREVIATED	1.0	0.0	NONE	[13, 16]	GK REYONG ROOT		1.0
REYONG	REYONG_1	t?	DENGDING	None	MUTED	1.0	0.0	NONE	[28, 31]	GK REYONG ROOT		1.0
REYONG	REYONG_1	t	DENGDING	None	OPEN	1.0	0.0	NONE	[1, 4]	GK REYONG ROOT		1.0
JEGOGAN	JEGOGAN	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[6]	GK JEGOGAN ROOT		1.0
CALUNG	CALUNG	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[6]	GK CALUNG ROOT		1.0
PENYACAH	PENYACAH	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[30]	GK PENYACAH ROOT		1.0
PEMADE	PEMADE_POLOS	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[15]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[15]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[15]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[15]	GK KANTILAN ROOT		1.0
UGAL	UGAL	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[15]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[53]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[19]	GK GENDER ROOT		1.0
REYONG	REYONG_1	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[16]	GK REYONG ROOT		1.0
REYONG	REYONG_2	i/	DING	1	ABBREVIATED	1.0	0.0	NONE	[16]	GK REYONG ROOT		1.0
PEMADE	PEMADE_POLOS	I	DING	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[5]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	I	DING	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[5]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	I	DING	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[5]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	I	DING	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[5]	GK KANTILAN ROOT		1.0
UGAL	UGAL	I	DING	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[5]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	I	DING	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[42]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	I	DING	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[5]	GK GENDER ROOT		1.0
REYONG	REYONG_1	I	DING	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[4]	GK REYONG ROOT		1.0
REYONG	REYONG_2	I	DING	1	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[4]	GK REYONG ROOT		1.0
JEGOGAN	JEGOGAN	i?	DING	1	MUTED	1.0	0.0	NONE	[11]	GK JEGOGAN ROOT		1.0
CALUNG	CALUNG	i?	DING	1	MUTED	1.0	0.0	NONE	[11]	GK CALUNG ROOT		1.0
PENYACAH	PENYACAH	i?	DING	1	MUTED	1.0	0.0	NONE	[37]	GK PENYACAH ROOT		1.0
PEMADE	PEMADE_POLOS	i?	DING	1	MUTED	1.0	0.0	NONE	[25]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	i?	DING	1	MUTED	1.0	0.0	NONE	[25]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	i?	DING	1	MUTED	1.0	0.0	NONE	[25]	GK KANTILAN ROOT		1.0
KANTILAN	KANTILAN_SANGSIH	i?	DING	1	MUTED	1.0	0.0	NONE	[25]	GK KANTILAN ROOT		1.0
UGAL	UGAL	i?	DING	1	MUTED	1.0	0.0	NONE	[25]	GK UGAL ROOT		1.0
TROMPONG	TROMPONG	i?	DING	1	MUTED	1.0	0.0	NONE	[64]	GK TROMPONG ROOT		1.0
GENDERRAMBAT	GENDERRAMBAT	i?	DING	1	MUTED	1.0	0.0	NONE	[33]	GK GENDER ROOT		1.0
REYONG	REYONG_1	i?	DING	1	MUTED	1.0	0.0	NONE	[28]	GK REYONG ROOT		1.0
REYONG	REYONG_2	i?	DING	1	MUTED	1.0	0.0	NONE	[28]	GK REYONG ROOT		1.0
JEGOGAN	JEGOGAN	i	DING	1	OPEN	1.0	0.0	NONE	[1]	GK JEGOGAN ROOT		1.0
CALUNG	CALUNG	i	DING	1	OPEN	1.0	0.0	NONE	[1]	GK CALUNG ROOT		1.0
PENYACAH	PENYACAH	i	DING	1	OPEN	1.0	0.0	NONE	[23]	GK PENYACAH ROOT	GK PENYACAH DING3.wav	1.0
