instrumenttype	position	symbol	pitch	octave	stroke	duration	rest_after	modifier	midinote	rootnote	sample	note_value
REYONG	REYONG_1	t;	DENGDING	None	TREMOLO	1.0	0.0	NONE	[1, 4]	GK REYONG ROOT		1.0
REYONG	REYONG_1	t:	DENGDING	None	TREMOLO_ACCELERATING	1.0	0.0	NONE	[1, 4]	GK REYONG ROOT		1.0
GONGS	GONGS	G;	GIR	None	TREMOLO	1.0	0.0	NONE	[2]	GK GIR	GK Gong.wav	1.0
GONGS	GONGS	G:	GIR	None	TREMOLO_ACCELERATING	1.0	0.0	NONE	[2]	GK GIR	GK Gong.wav	1.0
GONGS	GONGS	P;	PUR	None	TREMOLO	1.0	0.0	NONE	[3]	GK PUR	GK Kempur.wav	1.0
GONGS	GONGS	P:	PUR	None	TREMOLO_ACCELERATING	1.0	0.0	NONE	[3]	GK PUR	GK Kempur.wav	1.0
GONGS	GONGS	T;	TONG	None	TREMOLO	1.0	0.0	NONE	[4]	GK TONG	GK Kemong.wav	1.0
GONGS	GONGS	T:	TONG	None	TREMOLO_ACCELERATING	1.0	0.0	NONE	[4]	GK TONG	GK Kemong.wav	1.0
