instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	rootnote	sample
GONG_KEBYAR	PENYACAH		DUNG	1	MUTED		40	GK PENYACAH ROOT	
GONG_KEBYAR	PENYACAH		DANG	1	MUTED		41	GK PENYACAH ROOT	
GONG_KEBYAR	PEMADE		DONG	0	OPEN		1	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DONG	0	GRACE_NOTE		1	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	0	OPEN		2	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	0	GRACE_NOTE		2	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	0	OPEN		3	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	0	GRACE_NOTE		3	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	0	OPEN		4	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	0	GRACE_NOTE		4	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	1	OPEN		5	GK PEMADE ROOT	GK PEMADE DING3.wav
GONG_KEBYAR	PEMADE		DING	1	GRACE_NOTE		5	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DONG	1	OPEN		6	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DONG	1	GRACE_NOTE		6	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	1	OPEN		7	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	1	GRACE_NOTE		7	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	1	OPEN		8	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	1	GRACE_NOTE		8	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	1	OPEN		9	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	1	GRACE_NOTE		9	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	2	OPEN		10	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	2	GRACE_NOTE		10	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DONG	0	ABBREVIATED		11	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	0	ABBREVIATED		12	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	0	ABBREVIATED		13	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	0	ABBREVIATED		14	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	1	ABBREVIATED		15	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DONG	1	ABBREVIATED		16	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	1	ABBREVIATED		17	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	1	ABBREVIATED		18	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	1	ABBREVIATED		19	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	2	ABBREVIATED		20	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DONG	0	MUTED		21	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	0	MUTED		22	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	0	MUTED		23	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	0	MUTED		24	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	1	MUTED		25	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DONG	1	MUTED		26	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DENG	1	MUTED		27	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DUNG	1	MUTED		28	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DANG	1	MUTED		29	GK PEMADE ROOT	
GONG_KEBYAR	PEMADE		DING	2	MUTED		30	GK PEMADE ROOT	
GONG_KEBYAR	KANTILAN		DONG	0	OPEN		1	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DONG	0	GRACE_NOTE		1	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	0	OPEN		2	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	0	GRACE_NOTE		2	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DUNG	0	OPEN		3	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DUNG	0	GRACE_NOTE		3	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DANG	0	OPEN		4	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DANG	0	GRACE_NOTE		4	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DING	1	OPEN		5	GK KANTILAN ROOT	GK KANTILAN DING4.wav
GONG_KEBYAR	KANTILAN		DING	1	GRACE_NOTE		5	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DONG	1	OPEN		6	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DONG	1	GRACE_NOTE		6	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	1	OPEN		7	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	1	GRACE_NOTE		7	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DUNG	1	OPEN		8	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DUNG	1	GRACE_NOTE		8	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DANG	1	OPEN		9	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DANG	1	GRACE_NOTE		9	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DING	2	OPEN		10	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DING	2	GRACE_NOTE		10	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DONG	0	ABBREVIATED		11	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	0	ABBREVIATED		12	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DUNG	0	ABBREVIATED		13	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DANG	0	ABBREVIATED		14	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DING	1	ABBREVIATED		15	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DONG	1	ABBREVIATED		16	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	1	ABBREVIATED		17	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DUNG	1	ABBREVIATED		18	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DANG	1	ABBREVIATED		19	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DING	2	ABBREVIATED		20	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DONG	0	MUTED		21	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	0	MUTED		22	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DUNG	0	MUTED		23	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DANG	0	MUTED		24	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DING	1	MUTED		25	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DONG	1	MUTED		26	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DENG	1	MUTED		27	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DUNG	1	MUTED		28	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DANG	1	MUTED		29	GK KANTILAN ROOT	
GONG_KEBYAR	KANTILAN		DING	2	MUTED		30	GK KANTILAN ROOT	
GONG_KEBYAR	UGAL		DONG	0	OPEN		1	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DONG	0	GRACE_NOTE		1	GK UGAL ROOT	
GONG_KEBYAR	UGAL		DENG	0	OPEN		2	GK UGAL ROOT	
