tag	1	2	3	4	5	6	7	8	9	10	11	12	13
gangsa p	i.i.iOo.	o.o.oIi.	i.i.iZz.	z.z.zJj.	j.j.jIi.	i.i.iZz.	z.i.i.e.	o.i.e.o.
gangsa s	.o.o.Ooe	.e.e.Iio	.o.o.Zzi	.i.i.Jjz	.z.z.Iio	.o.o.Zzi	.z.z.o.i	.z.o.i.z

gangsa p	i.i.iOo.	o.o.oIi.	i.i.iZz.	z.z.zJj.	j.j.jIi.	i.i.iZz.	z.i.i.e.	o.i.e.o.
gangsa s	.o.o.Ooe	.e.e.Iio	.o.o.Zzi	.i.i.Jjz	.z.z.Iio	.o.o.Zzi	.z.z.o.i	.z.o.i.z

gangsa p	i.i.iOo.	o.o.oIi.	i.i.iZz.	z.z.zJj.	j.j.jIi.	i.i.iZz.	z.i.i.e.	o.i.e.o.
gangsa s	.o.o.Ooe	.e.e.Iio	.o.o.Zzi	.i.i.Jjz	.z.z.Iio	.o.o.Zzi	.z.z.o.i	.z.o.i.z

gangsa p	i.i.iOo.	o.o.oIi.	i.i.iZz.	z.z.zJj.	j.j.jIi.	i.i.iZz.	z.......
gangsa s	.o.o.Ooe	.e.e.Iio	.o.o.Zzi	.i.i.Jjz	.z.z.Iio	.o.o.Zzi	z.......

gangsa p	o.o.
gangsa s	a.a.

gangsa p	iiii	oooo	iiii	zzzz	jjjj	iiii	zzzz	oooo
gangsa s	uuuu	aaaa	uuuu	eeee	oooo	uuuu	eeee	aaaa

gangsa p	iiii	oooo	iiii	zzzz	jjjj	iiii	zzzz	oooo
gangsa s	uuuu	aaaa	uuuu	eeee	oooo	uuuu	eeee	aaaa

gangsa p	iiii	....	iiii	zzzz	jjjj	iiii	Za-àÀ	a---
gangsa s	uuuu	....	uuuu	eeee	oooo	uuuu	Ee-éÉ	d---

gangsa p	....	....	....	....	jjjj	iiii	zzzz	oooo
gangsa s	....	....	....	....	oooo	uuuu	eeee	aaaa

gangsa p	iiii	oooo	iiii	zzzz	jjjj	iiii	z/ïo	----
gangsa s	uuuu	aaaa	uuuu	eeee	oooo	uuuu	e/üa	----

gangsa p	....	oooo	iiii	zzzz	jjjj	iiii	z/zz	ooo-
gangsa s	....	aaaa	uuuu	eeee	oooo	uuuu	e/ee	aaa-

gangsa p	iiii	....	iiii	zzzz	jjjj	iiii	-z/z-	ZzZ.
gangsa s	uuuu	....	uuuu	eeee	oooo	uuuu	-e/e-	EeE.

gangsa p	....	....	....	..iI	i-j-â	i-z-	j-z-ï	o---
gangsa s	....	....	....	..uU	u-o-ë	u-e-	o-e-ü	a---

gangsa p	i...	....	....	..iI	i-j-â	i-z-	j-i-ö	e---
gangsa s	u...	....	....	..uU	u-o-ë	u-e-	o-e-ä	8---

gangsa p	o...	....	....	..oO	o-z-ï	o-i-	z-i-ö	e---
gangsa s	a...	....	....	..aA	a-e-ü	a-u-	e-u-ä	8---

gangsa p	o...	j-z-	ii-o	-iz-	j---	--z-	ii-o	-zi-	oo-e	-io-	ee-u	-eo-
gangsa s	a...	o-e-	uu-a	-ue-	o---	--e-	uu-a	-eu-	aa-8	-ua-	88-u	-8a-

gangsa p	....	....	....	..iI	i-j-â	i-z-	j-z-ï	o---
gangsa s	....	....	....	..uU	u-o-ë	u-e-	o-e-ü	a---

gangsa p	i...	....	....	..iI	i-j-â	i-z-	j-i-ö	e---
gangsa s	u...	....	....	..uU	u-o-ë	u-e-	o-e-ä	8---

gangsa p	o...	....	....	..oO	o-z-ï	o-i-	z-i-ö	e---
gangsa s	a...	....	....	..aA	a-e-ü	a-u-	e-u-ä	8---

gangsa p	o...	j-z-	ii-o	-iz-	j---	--z-	ii-o	-zi-	oo-e	-io-	ee-u	-eo-
gangsa s	a...	o-e-	uu-a	-ue-	o---	--e-	uu-a	-eu-	aa-8	-ua-	88-u	-8a-

gangsa p	....	....	....	..iI	i-j-â	i-z-	j-z-ï	o---
gangsa s	....	....	....	..uU	u-o-ë	u-e-	o-e-ü	a---

gangsa p	i...	....	....	..iI	i-j-â	i-z-	j-i-ö	e---
gangsa s	u...	....	....	..uU	u-o-ë	u-e-	o-e-ä	8---

gangsa p	o...	....	....	..oO	o-z-ï	o-i-	z-i-ö	e---
gangsa s	a...	....	....	..aA	a-e-ü	a-u-	e-u-ä	8---

metadata	{"type": "tempo-change", "factor": 1.5, "steps": 8}
