symbol	unicode	symbol_description	balifont_symbol_description	pitch	octave	stroke	duration	rest_after	modifier	description
Ý	0x00dd	uppercase Y acute	x slashed, single macron	TICK		OPEN	0.1	0.4	NONE	tick half duration abbreviated
à	0x00e0	lowercase a grave	a underdot single macron	DANG	0	OPEN	0.5	0	NONE	dang0 half duration
á	0x00e1	lowercase a acute	a single macron	DANG	1	OPEN	0.5	0	NONE	dang1 half duration
â	0x00e2	lowercase a circumflex	a underdot double macron	DANG	0	OPEN	0.25	0	NONE	dang1 quarter duration
ä	0x00e4	lowercase a trema	a double macron	DANG	1	OPEN	0.25	0	NONE	dang1 quarter duration
è	0x00e8	lowercase e grave	e underdot single macron	DENG	0	OPEN	0.5	0	NONE	deng0 half duration
é	0x00e9	lowercase e	e single macron	DENG	1	OPEN	0.5	0	NONE	deng1 half duration
ê	0x00ea	lowercase e circumflex	e underdot double macron	DENG	0	OPEN	0.25	0	NONE	deng0 quarter duration
ë	0x00eb	lowercase e trema	e double macron	DENG	1	OPEN	0.25	0	NONE	deng1 quarter duration
ì	0x00ec	lowercase i grave	i underdot single macron	DING	0	OPEN	0.5	0	NONE	ding1 half duration
í	0x00ed	lowercase i	dotless i single macron	DING	1	OPEN	0.5	0	NONE	ding1 half duration
î	0x00ee	lowercase i circumflex	dotless i underdot double macron	DING	0	OPEN	0.25	0	NONE	ding0 quarter duration
ï	0x00ef	lowercase i trema	dotless i double macron	DING	1	OPEN	0.25	0	NONE	ding1 quarter duration
ò	0x00f2	lowercase o grave	o underdot macron	DONG	0	OPEN	0.5	0	NONE	dong0 quarter duration
ó	0x00f3	lowercase o	o single macron	DONG	1	OPEN	0.5	0	NONE	dong1 half duration
ô	0x00f4	lowercase o circumflex	o underdot double macron	DONG	0	OPEN	0.25	0	NONE	dong0 quarter duration
ö	0x00f6	lowercase o trema	o double macron	DONG	1	OPEN	0.25	0	NONE	dong1 quarter duration
ù	0x00f9	lowercase u grave	u underdot single macron	DUNG	0	OPEN	0.5	0	NONE	dung0 half duration
ú	0x00fa	lowercase u acute	u single macron	DUNG	1	OPEN	0.5	0	NONE	dung1 half duration
û	0x00fb	lowercase u circumflex	u underdot double macron	DUNG	0	OPEN	0.25	0	NONE	dung0 quarter duration
ü	0x00fc	lowercase u trema	u double macron	DUNG	1	OPEN	0.25	0	NONE	dung1 quarter duration
ý	0x00fd	lowercase y acute	x single macron	TICK		OPEN	0.5	0	NONE	tick half duration
ÿ	0x00ff	lowercase y trema	x double macron	TICK		OPEN	0.25	0	NONE	tick quarter duration
Ā	0x0100	uppercase A macron	a overdot slashed, single macron	DANG	2	MUTED	0.1	0.4	NONE	dang2 half duration abbreviated
ā	0x0101	lowercase a macron	a overdot single macron	DANG	2	OPEN	0.5	0	NONE	dang2 half duration
Ă	0x0102	uppercase A breve	a overdot slashed, double macron	DANG	2	MUTED	0.05	0.2	NONE	dang2 quarter duration muted
ă	0x0103	lowercase a breve	a overdot double macron	DANG	2	OPEN	0.25	0	NONE	dang2 quarter duration
Ē	0x0112	uppercase E macron	e overdot slashed, single macron	DENG	2	MUTED	0.1	0.4	NONE	deng2 half duration abbreviated
ē	0x0113	lowercase e macron	e overdot single macron	DENG	2	OPEN	0.5	0	NONE	deng2 half duration
Ĕ	0x0114	uppercase E breve	e overdot slashed, double macron	DENG	2	MUTED	0.05	0.2	NONE	deng2 quarter duration muted
ĕ	0x0115	lowercase e breve	e overdot double macron	DENG	2	OPEN	0.25	0	NONE	deng2 quarter duration
Ī	0x012a	uppercase i macron	i (with dot) slashed, single macron	DING	2	MUTED	0.1	0.4	NONE	ding2 half duration abbreviated
ī	0x012b	lowercase i macron	i (with dot) single macron	DING	2	OPEN	0.5	0	NONE	ding2 half duration
Ĭ	0x012c	uppercase I breve	i (with dot) slashed, double macron	DING	2	MUTED	0.05	0.2	NONE	ding2 quarter duration muted
ĭ	0x012d	lowercase i breve	i (with dot) double macron	DING	2	OPEN	0.25	0	NONE	ding2 quarter duration
Ō	0x014c	uppercase O macron	o overdot slashed, single macron	DONG	2	MUTED	0.1	0.4	NONE	dong2 half duration abbreviated
ō	0x014d	lowercase o macron	o overdot single macron	DONG	2	OPEN	0.5	0	NONE	dong2 half duration
Ŏ	0x014e	uppercase O breve	o overdot slashed, double macron	DONG	2	MUTED	0.05	0.2	NONE	dong2 quarter duration muted
ŏ	0x014f	lowercase o breve	o overdot double macron	DONG	2	OPEN	0.25	0	NONE	dong2 quarter duration
Ŕ	0x0154	uppercase R acute	e and u combined slashed, single macron	DEUNG	1	OPEN	0.1	0.4	NONE	deung half duration muted
ŕ	0x0155	lowercase r acute	e and u combined single macron	DEUNG	1	OPEN	0.5	0	NONE	deung open half duration
Ŗ	0x0156	uppercase R undercomma	e and u combined double macron	DEUNG	1	OPEN	0.05	0.2	NONE	deung quarter duration muted
ŗ	0x0157	lowercase r undercomma	e and u combined double macron	DEUNG	1	OPEN	0.25	0	NONE	deung open quarter duration
Ś	0x015a	uppercase S acute	a and i combined slashed, single macron	DAING	1	OPEN	0.1	0.4	NONE	daing half duration muted
ś	0x015b	lowercase s acute	a and i combined single macron	DAING	1	OPEN	0.5	0	NONE	daing open half duration
Ş	0x015e	uppercase S cedille	a and i combined slashed, double macron	DAING	1	OPEN	0.05	0.2	NONE	dang+ding (reyong1) quarter duration muted
ş	0x015f	lowercase s cedille	a and i combined double macron	DAING	1	OPEN	0.25	0	NONE	dang+ding  (reyong1) open quarter duration
Ū	0x016a	uppercase U macron	u overdot slashed, single macron	DUNG	2	MUTED	0.1	0.4	NONE	dung2 half duration abbreviated
ū	0x016b	lowercase u macron	u overdot single macron	DUNG	2	OPEN	0.5	0	NONE	dung2 half duration
Ŭ	0x016c	uppercase U breve	u overdot slashed, double macron	DUNG	2	MUTED	0.05	0.2	NONE	dung2 quarter duration muted
ŭ	0x016d	lowercase u breve	u overdot double macron	DUNG	2	OPEN	0.25	0	NONE	dung2 quarter duration
Ÿ	0x0178	uppercase Y trema	x slashed, double macron	TICK		MUTED	0.05	0.2	NONE	tick quarter duration muted
Ž	0x017d	uppercase Z caron	slash with macron	NONE		NONE	0.2	0.3	MODIFIER_PREV1	long mutes previous note, half duration
ž	0x017e	lowercase Z caron	slash with double macron	NONE		NONE	0.1	0.15	MODIFIER_PREV1	long mutes previous note, quarter duration
ṁ	0x1e41	lowercase m overdot	serifless lowercase u	KRUM		OPEN	1	0	NONE	krum open
ṃ	0x1e43	lowercase m underdot	lowercase t	TUT		OPEN	1	0	NONE	tut open
ṅ	0x1e45	lowercase n overdot	serifless lowercase u, upside down	PUNG		OPEN	1	0	NONE	pung open
ṇ	0x1e47	lowercase n underdot	lowercase d	DUG		OPEN	1	0	NONE	dug open
