tag	infile	positions
pemade p	Lentetijd (Krishna).xlsx	[PEMADE_POLOS]
pemade s	Lentetijd (Krishna).xlsx	[PEMADE_SANGSIH]
pemade4	Nelayan.xlsx	[PEMADE_POLOS, PEMADE_SANGSIH]
rey/ceng	Tari Tenun.xlsx	[CENGCENG, REYONG_1, REYONG_2, REYONG_3, REYONG_4]
rey/suling	Exam composition Krishna.xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong	Topeng Tua.xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong 1	Kebyar Amstelveen.xlsx	[REYONG_1]
reyong 1/3	Gambangan.xlsx	[REYONG_1, REYONG_3]
reyong 12	Rejang Dewa.xlsx	[REYONG_1]
reyong 2	Kebyar Amstelveen.xlsx	[REYONG_2]
reyong 2.4	Gambangan.xlsx	[REYONG_2, REYONG_4]
reyong 2/4	Gambangan.xlsx	[REYONG_2, REYONG_4]
reyong 3	Kebyar Amstelveen.xlsx	[REYONG_3]
reyong 34	Rejang Dewa.xlsx	[REYONG_3]
reyong 4	Kebyar Amstelveen.xlsx	[REYONG_4]
reyong p	Tabuh Topeng.xlsx	[REYONG_1, REYONG_3]
reyong s	Tabuh Topeng.xlsx	[REYONG_2, REYONG_4]
reyong(1)	Lentetijd (Krishna).xlsx	[REYONG_1]
reyong(2)	Lentetijd (Krishna).xlsx	[REYONG_2]
reyong*	Exam composition Krishna.xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong1	Sidakarya.xlsx	[REYONG_1]
reyong1+3	Gilak Penutup Kt Suda Negara.xlsx	[REYONG_1, REYONG_3]
reyong1+3*	Gilak Penutup Kt Suda Negara.xlsx	[REYONG_1, REYONG_3]
reyong1-3	Girang Penutup.xlsx	[REYONG_1, REYONG_3]
reyong1-4	Panyembrama.xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong1-41	Manuk Rawa.xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong1-42	Manuk Rawa.xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong1-43	Manuk Rawa.xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong1-44	Manuk Rawa.xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong12	Gilak Penutup.xlsx	[REYONG_1, REYONG_2]
reyong12*	Gilak Penutup.xlsx	[REYONG_1, REYONG_2]
reyong13	Topeng keras.xlsx	[REYONG_1, REYONG_3]
reyong13A	Lentetijd (Krishna).xlsx	[REYONG_1, REYONG_3]
reyong13B	Lentetijd (Krishna).xlsx	[REYONG_1, REYONG_3]
reyong13C	Lentetijd (Krishna).xlsx	[REYONG_1, REYONG_3]
reyong2	Sidakarya.xlsx	[REYONG_2]
reyong2+4	Gilak Penutup Kt Suda Negara.xlsx	[REYONG_2, REYONG_4]
reyong2+4*	Gilak Penutup Kt Suda Negara.xlsx	[REYONG_2, REYONG_4]
reyong2-4	Girang Penutup.xlsx	[REYONG_2, REYONG_4]
reyong24	Topeng keras.xlsx	[REYONG_2, REYONG_4]
reyong24(alt)	Topeng keras.xlsx	[REYONG_2, REYONG_4]
reyong24A	Lentetijd (Krishna).xlsx	[REYONG_2, REYONG_4]
