tag	infile	instruments	positions
ca/jeg	Telek (Ubud).xlsx	[JEGOGAN, CALUNG]	[JEGOGAN, CALUNG]
ca/ugal	Barong.xlsx	[UGAL, CALUNG]	[UGAL, CALUNG]
cal/jeg	Kebyar Amstelveen.xlsx	[JEGOGAN, CALUNG]	[JEGOGAN, CALUNG]
calung	Topeng Tua.xlsx	[CALUNG]	[CALUNG]
calung*	Tarik Becak.xlsx	[CALUNG]	[CALUNG]
calung/jeg	Oleg tambulilingan.xlsx	[JEGOGAN, CALUNG]	[JEGOGAN, CALUNG]
cenceng	Tari Tenun.xlsx	[CENGCENG]	[CENGCENG]
ceng2	Lentetijd (Krishna).xlsx	[CENGCENG]	[CENGCENG]
ceng2 kop.	Voor de Koning 2014.xlsx	[CENGCENG]	[CENGCENG]
cengceng	Tari Tenun.xlsx	[CENGCENG]	[CENGCENG]
ga of gying	Kotekan demo.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ga p	Pendet.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, KANTILAN_POLOS]
ga s	Pendet.xlsx	[KANTILAN, PEMADE]	[PEMADE_SANGSIH, KANTILAN_SANGSIH]
ga+rey	Lentetijd (Krishna).xlsx	[KANTILAN, REYONG, PEMADE]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ga+reyong	Exam composition Krishna.xlsx	[KANTILAN, REYONG, PEMADE]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ga/ca/je	Telek (Ubud).xlsx	[JEGOGAN, KANTILAN, PEMADE, CALUNG]	[JEGOGAN, CALUNG, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ga/ugal	Murniati.xlsx	[KANTILAN, UGAL, PEMADE]	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ga4	Oleg tambulilingan.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
gang./gying	Tabuh telu.xlsx	[KANTILAN, UGAL, PEMADE]	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
gangs4	Baris.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
gangsa	Telek (Ubud).xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
gangsa 4	Oleg tambulilingan.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
gangsa p	Topeng Tua.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, KANTILAN_POLOS]
gangsa p*	Oleg tambulilingan.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, KANTILAN_POLOS]
gangsa p/s	Tabuh telu.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
gangsa s	Topeng Tua.xlsx	[KANTILAN, PEMADE]	[PEMADE_SANGSIH, KANTILAN_SANGSIH]
gangsa s*	Oleg tambulilingan.xlsx	[KANTILAN, PEMADE]	[PEMADE_SANGSIH, KANTILAN_SANGSIH]
gangsa*	Tari Tenun.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
gangsa4	Topeng Tua.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
gangsa4*	Tari Tenun.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
gangsag4	Gilak Penutup.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
gansga p	Tabuh telu.xlsx	[KANTILAN, PEMADE]	[PEMADE_POLOS, KANTILAN_POLOS]
gender	Liar Samas.xlsx	[GENDERRAMBAT]	[GENDERRAMBAT]
gong	Voor de Koning 2014.xlsx	[GONGS]	[GONGS]
gying	Tabuh telu.xlsx	[UGAL]	[UGAL]
gying/gangsa	Tabuh Topeng.xlsx	[UGAL, KANTILAN, PEMADE]	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
jegog	Telek (Ubud).xlsx	[JEGOGAN]	[JEGOGAN]
jegogan	Topeng Tua.xlsx	[JEGOGAN]	[JEGOGAN]
jublag	Murniati.xlsx	[CALUNG]	[CALUNG]
kantilan	Tarik Becak.xlsx	[KANTILAN]	[KANTILAN_POLOS, KANTILAN_SANGSIH]
kantilan p	Tabuh telu.xlsx	[KANTILAN]	[KANTILAN_POLOS]
kantilan s	Tabuh telu.xlsx	[KANTILAN]	[KANTILAN_SANGSIH]
kantilan*	Exam composition Krishna.xlsx	[KANTILAN]	[KANTILAN_POLOS, KANTILAN_SANGSIH]
kantilan4	Lentetijd (Krishna).xlsx	[KANTILAN]	[KANTILAN_POLOS, KANTILAN_SANGSIH]
kempli	Lentetijd (Krishna).xlsx	[KEMPLI]	[KEMPLI]
kempli*	Exam composition Krishna.xlsx	[KEMPLI]	[KEMPLI]
kendang	Voor de Koning 2014.xlsx	[KENDANG]	[KENDANG]
kendang*	Hujan Mas.xlsx	[KENDANG]	[KENDANG]
pemade	Girang Penutup.xlsx	[PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH]
pemade p	Lentetijd (Krishna).xlsx	[PEMADE]	[PEMADE_POLOS]
pemade s	Lentetijd (Krishna).xlsx	[PEMADE]	[PEMADE_SANGSIH]
pemade4	Nelayan.xlsx	[PEMADE]	[PEMADE_POLOS, PEMADE_SANGSIH]
rey/ceng	Tari Tenun.xlsx	[REYONG, CENGCENG]	[CENGCENG, REYONG_1, REYONG_2, REYONG_3, REYONG_4]
rey/suling	Exam composition Krishna.xlsx	[REYONG]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong	Topeng Tua.xlsx	[REYONG]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong 1	Kebyar Amstelveen.xlsx	[REYONG]	[REYONG_1]
reyong 1/3	Gambangan.xlsx	[REYONG]	[REYONG_1, REYONG_3]
reyong 12	Rejang Dewa.xlsx	[REYONG]	[REYONG_1]
reyong 2	Kebyar Amstelveen.xlsx	[REYONG]	[REYONG_2]
reyong 2.4	Gambangan.xlsx	[REYONG]	[REYONG_2, REYONG_4]
reyong 2/4	Gambangan.xlsx	[REYONG]	[REYONG_2, REYONG_4]
reyong 3	Kebyar Amstelveen.xlsx	[REYONG]	[REYONG_3]
reyong 34	Rejang Dewa.xlsx	[REYONG]	[REYONG_3]
reyong 4	Kebyar Amstelveen.xlsx	[REYONG]	[REYONG_4]
reyong p	Tabuh Topeng.xlsx	[REYONG]	[REYONG_1, REYONG_3]
reyong s	Tabuh Topeng.xlsx	[REYONG]	[REYONG_2, REYONG_4]
reyong(1)	Lentetijd (Krishna).xlsx	[REYONG]	[REYONG_1]
reyong(2)	Lentetijd (Krishna).xlsx	[REYONG]	[REYONG_2]
reyong*	Exam composition Krishna.xlsx	[REYONG]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong1	Sidakarya.xlsx	[REYONG]	[REYONG_1]
reyong1+3	Gilak Penutup Kt Suda Negara.xlsx	[REYONG]	[REYONG_1, REYONG_3]
reyong1+3*	Gilak Penutup Kt Suda Negara.xlsx	[REYONG]	[REYONG_1, REYONG_3]
reyong1-3	Girang Penutup.xlsx	[REYONG]	[REYONG_1, REYONG_3]
reyong1-4	Panyembrama.xlsx	[REYONG]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong1-41	Manuk Rawa.xlsx	[REYONG]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong1-42	Manuk Rawa.xlsx	[REYONG]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong1-43	Manuk Rawa.xlsx	[REYONG]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong1-44	Manuk Rawa.xlsx	[REYONG]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong12	Gilak Penutup.xlsx	[REYONG]	[REYONG_1, REYONG_2]
reyong12*	Gilak Penutup.xlsx	[REYONG]	[REYONG_1, REYONG_2]
reyong13	Topeng keras.xlsx	[REYONG]	[REYONG_1, REYONG_3]
reyong13A	Lentetijd (Krishna).xlsx	[REYONG]	[REYONG_1, REYONG_3]
reyong13B	Lentetijd (Krishna).xlsx	[REYONG]	[REYONG_1, REYONG_3]
reyong13C	Lentetijd (Krishna).xlsx	[REYONG]	[REYONG_1, REYONG_3]
reyong2	Sidakarya.xlsx	[REYONG]	[REYONG_2]
reyong2+4	Gilak Penutup Kt Suda Negara.xlsx	[REYONG]	[REYONG_2, REYONG_4]
reyong2+4*	Gilak Penutup Kt Suda Negara.xlsx	[REYONG]	[REYONG_2, REYONG_4]
reyong2-4	Girang Penutup.xlsx	[REYONG]	[REYONG_2, REYONG_4]
reyong24	Topeng keras.xlsx	[REYONG]	[REYONG_2, REYONG_4]
reyong24(alt)	Topeng keras.xlsx	[REYONG]	[REYONG_2, REYONG_4]
reyong24A	Lentetijd (Krishna).xlsx	[REYONG]	[REYONG_2, REYONG_4]
reyong24B	Lentetijd (Krishna).xlsx	[REYONG]	[REYONG_2, REYONG_4]
reyong24C	Lentetijd (Krishna).xlsx	[REYONG]	[REYONG_2, REYONG_4]
reyong3	Sidakarya.xlsx	[REYONG]	[REYONG_3]
reyong34	Gilak Penutup.xlsx	[REYONG]	[REYONG_3, REYONG_4]
reyong34*	Gilak Penutup.xlsx	[REYONG]	[REYONG_3, REYONG_4]
reyong4	Sidakarya.xlsx	[REYONG]	[REYONG_4]
reyongC	Lentetijd (Krishna).xlsx	[REYONG]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
tr/ga/ca	Lengker.xlsx	[KANTILAN, PEMADE, TROMPONG, CALUNG]	[TROMPONG, CALUNG, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
trompong	Sinom Ladrang.xlsx	[TROMPONG]	[TROMPONG]
ug / ga	Pendet.xlsx	[UGAL, KANTILAN, PEMADE]	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ug/ga4/ca	Telek (Ubud).xlsx	[UGAL, KANTILAN, PEMADE, CALUNG]	[UGAL, CALUNG, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ug/gang p	Tarik Becak.xlsx	[UGAL, KANTILAN, PEMADE]	[UGAL, PEMADE_POLOS, KANTILAN_POLOS]
ugal	Topeng Tua.xlsx	[UGAL]	[UGAL]
ugal / ga4	Manuk Rawa.xlsx	[UGAL, KANTILAN, PEMADE]	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ugal+ga4	Kebyar Ding.xlsx	[UGAL, KANTILAN, PEMADE]	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ugal/ga	Telek (Ubud).xlsx	[UGAL, KANTILAN, PEMADE]	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ugal/ga.p	Murniati.xlsx	[UGAL, KANTILAN, PEMADE]	[UGAL, PEMADE_POLOS, KANTILAN_POLOS]
ugal/ga4	Tarik Becak.xlsx	[UGAL, KANTILAN, PEMADE]	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ugal/gang	Tarik Becak.xlsx	[UGAL, KANTILAN, PEMADE]	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ugal/jeg	Liar Samas.xlsx	[JEGOGAN, UGAL]	[JEGOGAN, UGAL]
