tag	infile	instruments	positions
Gender h	Voor de Koning 2014.xlsx	[GENDERRAMBAT]	[GENDERRAMBAT]
Gender l	Voor de Koning 2014.xlsx	[GENDERRAMBAT]	[GENDERRAMBAT]
Gong	Sekar Jepun.xlsx	[GONGS]	[GONGS]
Reyong	Lentetijd (Krishna).xlsx	[REYONG]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
Trompong	Bapang Selisir.xlsx	[TROMPONG]	[TROMPONG]
Ug/ga4*	Oleg tambulilingan.xlsx	[UGAL, KANTILAN, PEMADE]	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
Ug/ga4/rey	Oleg tambulilingan.xlsx	[UGAL, REYONG, KANTILAN, PEMADE]	[UGAL, REYONG_1, REYONG_2, REYONG_3, REYONG_4, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
Ugal	Tari Tenun.xlsx	[UGAL]	[UGAL]
Ugal*	Oleg tambulilingan.xlsx	[UGAL]	[UGAL]
Ugal/ga4	Oleg tambulilingan.xlsx	[UGAL, KANTILAN, PEMADE]	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
Ugal/ga4/rey	Oleg tambulilingan.xlsx	[UGAL, REYONG, KANTILAN, PEMADE]	[UGAL, REYONG_1, REYONG_2, REYONG_3, REYONG_4, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ca (ga)	Sekar Jepun.xlsx	[CALUNG, PEMADE, KANTILAN]	[CALUNG, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ca, je, go	Nelayan.xlsx	[GONGS, JEGOGAN, CALUNG]	[GONGS, JEGOGAN, CALUNG]
ca/je/su/so	Exam composition Krishna.xlsx	[JEGOGAN, CALUNG]	[JEGOGAN, CALUNG]
