symbol	unicode	symbol_description	balifont_symbol_description	value	duration	rest_after	description
Ŗ	0x0156	uppercase R undercomma	e and u combined double macron	EXTENSION	0.05	0.2	deung quarter duration muted
ŗ	0x0157	lowercase r undercomma	e and u combined double macron	EXTENSION	0.25	0.0	deung open quarter duration
Ś	0x015a	uppercase S acute	a and i combined slashed, single macron	EXTENSION	0.1	0.4	daing half duration muted
ś	0x015b	lowercase s acute	a and i combined single macron	EXTENSION	0.5	0.0	daing open half duration
Ş	0x015e	uppercase S cedille	a and i combined slashed, double macron	EXTENSION	0.05	0.2	daing quarter duration muted
ş	0x015f	lowercase s cedille	a and i combined double macron	EXTENSION	0.25	0.0	daing open quarter duration
Ū	0x016a	uppercase U macron	u overdot slashed, single macron	DUNG2_MUTED	0.1	0.4	dung2 half duration long muted
ū	0x016b	lowercase u macron	u overdot single macron	DUNG2	0.5	0.0	dung2 half duration
Ŭ	0x016c	uppercase U breve	u overdot slashed, double macron	DUNG2_MUTED	0.05	0.2	dung2 quarter duration muted
ŭ	0x016d	lowercase u breve	u overdot double macron	DUNG2	0.25	0.0	dung2 quarter duration
Ÿ	0x0178	uppercase Y trema	x slashed, double macron	TICK_1_PANGGUL	0.05	0.2	tick quarter duration muted
Ž	0x017d	uppercase Z caron	slash with macron	EXTENSION	1.0	0.0	long mutes previous note, half duration
ž	0x017e	lowercase Z caron	slash with double macron	EXTENSION	1.0	0.0	long mutes previous note, quarter duration
ṁ	0x1e41	lowercase m overdot	serifless lowercase u, upside down	PUNG	1.0	0.0	pung open
ṃ	0x1e43	lowercase m underdot	lowercase t	TUT	1.0	0.0	tut open
ṅ	0x1e45	lowercase n overdot	serifless lowercase u	KRUM	1.0	0.0	krum open
ṇ	0x1e47	lowercase n underdot	lowercase d	DUG	1.0	0.0	dug open
