instrumentgroup	instrumenttype	notevalue	midi	pianomidi
GONG_KEBYAR	GENDERRAMBAT	DUNG1_MUTED	97	56
GONG_KEBYAR	GENDERRAMBAT	DANG1_MUTED	98	57
GONG_KEBYAR	GENDERRAMBAT	DING2_MUTED	99	61
GONG_KEBYAR	REYONG	DENG0	103	52
GONG_KEBYAR	REYONG	DUNG0	104	56
GONG_KEBYAR	REYONG	DANG0	105	57
GONG_KEBYAR	REYONG	DING1	106	61
GONG_KEBYAR	REYONG	DONG1	107	62
GONG_KEBYAR	REYONG	DENG1	108	64
GONG_KEBYAR	REYONG	DUNG1	109	68
GONG_KEBYAR	REYONG	DANG1	110	69
GONG_KEBYAR	REYONG	DING2	111	73
GONG_KEBYAR	REYONG	DONG2	112	74
GONG_KEBYAR	REYONG	DENG2	113	76
GONG_KEBYAR	REYONG	DUNG2	114	80
GONG_KEBYAR	REYONG	DENG0_MUTED	103	52
GONG_KEBYAR	REYONG	DUNG0_MUTED	104	56
GONG_KEBYAR	REYONG	DANG0_MUTED	105	57
GONG_KEBYAR	REYONG	DING1_MUTED	106	61
GONG_KEBYAR	REYONG	DONG1_MUTED	107	62
GONG_KEBYAR	REYONG	DENG1_MUTED	108	64
GONG_KEBYAR	REYONG	DUNG1_MUTED	109	68
GONG_KEBYAR	REYONG	DANG1_MUTED	110	69
GONG_KEBYAR	REYONG	DING2_MUTED	111	73
GONG_KEBYAR	REYONG	DONG2_MUTED	112	74
GONG_KEBYAR	REYONG	DENG2_MUTED	113	76
GONG_KEBYAR	REYONG	DUNG2_MUTED	114	80
GONG_KEBYAR	REYONG	BYONG	115	56
GONG_KEBYAR	REYONG	BYOT	116	56
GONG_KEBYAR	REYONG	JET	117	56
GONG_KEBYAR	REYONG	TICK_1_PANGGUL	118	90
GONG_KEBYAR	REYONG	TICK_2_PANGGUL	119	90
GONG_KEBYAR	TROMPONG	DANG0	100	45
GONG_KEBYAR	TROMPONG	DING1	101	49
GONG_KEBYAR	TROMPONG	DONG1	102	50
GONG_KEBYAR	TROMPONG	DENG1	103	52
GONG_KEBYAR	TROMPONG	DUNG1	104	56
GONG_KEBYAR	TROMPONG	DANG1	105	57
GONG_KEBYAR	TROMPONG	DING2	106	61
GONG_KEBYAR	TROMPONG	DONG2	107	62
GONG_KEBYAR	TROMPONG	DENG2	108	64
GONG_KEBYAR	TROMPONG	DUNG2	109	68
GONG_KEBYAR	TROMPONG	DANG2	110	69
GONG_KEBYAR	TROMPONG	BYONG	115	56
GONG_KEBYAR	TROMPONG	BYOT	116	56
GONG_KEBYAR	TROMPONG	JET	117	56
GONG_KEBYAR	TROMPONG	TICK_1_PANGGUL	118	90
GONG_KEBYAR	TROMPONG	TICK_2_PANGGUL	119	90
SEMAR_PAGULINGAN	GONGS	GIR	0	-1
SEMAR_PAGULINGAN	GONGS	PUR	1	-1
SEMAR_PAGULINGAN	GONGS	TONG	2	-1
SEMAR_PAGULINGAN	KEMPLI	MUTED	3	-1
SEMAR_PAGULINGAN	CENGCENG	OPEN	4	-1
