instrumentgroup	instrumenttype	positions	notevalue	channel	midi-gk1	midi-gk2	midi-piano
GONG_KEBYAR	GENDERRAMBAT		DING1	0	84	127	49
GONG_KEBYAR	GENDERRAMBAT		DONG1	0	85	127	50
GONG_KEBYAR	GENDERRAMBAT		DENG1	0	86	127	52
GONG_KEBYAR	GENDERRAMBAT		DUNG1	0	87	127	56
GONG_KEBYAR	GENDERRAMBAT		DANG1	0	88	127	57
GONG_KEBYAR	GENDERRAMBAT		DING2	0	89	127	61
GONG_KEBYAR	GENDERRAMBAT		DONG0_MUTED	0	90	127	38
GONG_KEBYAR	GENDERRAMBAT		DENG0_MUTED	0	91	127	40
GONG_KEBYAR	GENDERRAMBAT		DUNG0_MUTED	0	92	127	44
GONG_KEBYAR	GENDERRAMBAT		DANG0_MUTED	0	93	127	45
GONG_KEBYAR	GENDERRAMBAT		DING1_MUTED	0	94	127	49
GONG_KEBYAR	GENDERRAMBAT		DONG1_MUTED	0	95	127	50
GONG_KEBYAR	GENDERRAMBAT		DENG1_MUTED	0	96	127	52
GONG_KEBYAR	GENDERRAMBAT		DUNG1_MUTED	0	97	127	56
GONG_KEBYAR	GENDERRAMBAT		DANG1_MUTED	0	98	127	57
GONG_KEBYAR	GENDERRAMBAT		DING2_MUTED	0	99	127	61
GONG_KEBYAR	REYONG	[REYONG_1]	DENG0	0	103	30	52
GONG_KEBYAR	REYONG	[REYONG_1]	DUNG0	0	104	31	56
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DANG0	0	105	32	57
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DING1	0	106	33	61
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DONG1	0	107	35	62
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DENG1	0	108	36	64
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DUNG1	0	109	37	68
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DANG1	0	110	38	69
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DING2	0	111	39	73
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DONG2	0	112	40	74
GONG_KEBYAR	REYONG	[REYONG_4]	DENG2	0	113	41	76
GONG_KEBYAR	REYONG	[REYONG_4]	DUNG2	0	114	42	80
GONG_KEBYAR	REYONG	[REYONG_1]	DENG0_MUTED	0	103	30	52
GONG_KEBYAR	REYONG	[REYONG_1]	DUNG0_MUTED	0	104	31	56
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DANG0_MUTED	0	105	32	57
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DING1_MUTED	0	106	33	61
GONG_KEBYAR	REYONG	[REYONG_1]	DENGDING0	0	103	34	52
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DONG1_MUTED	0	107	35	62
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DENG1_MUTED	0	108	36	64
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DUNG1_MUTED	0	109	37	68
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DANG1_MUTED	0	110	38	69
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DING2_MUTED	0	111	39	73
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DONG2_MUTED	0	112	40	74
GONG_KEBYAR	REYONG	[REYONG_4]	DENG2_MUTED	0	113	41	76
GONG_KEBYAR	REYONG	[REYONG_4]	DUNG2_MUTED	0	114	42	80
GONG_KEBYAR	REYONG	[REYONG_1]	BYONG	0	115	44	56
GONG_KEBYAR	REYONG	[REYONG_2]	BYONG	0	115	44	56
GONG_KEBYAR	REYONG	[REYONG_3]	BYONG	0	115	44	56
GONG_KEBYAR	REYONG	[REYONG_4]	BYONG	0	115	44	56
GONG_KEBYAR	REYONG	[REYONG_1]	BYOT	0	116	45	56
GONG_KEBYAR	REYONG	[REYONG_2]	BYOT	0	116	45	56
GONG_KEBYAR	REYONG	[REYONG_3]	BYOT	0	116	45	56
GONG_KEBYAR	REYONG	[REYONG_4]	BYOT	0	116	45	56
GONG_KEBYAR	REYONG	[REYONG_1]	JET	0	117	43	56
GONG_KEBYAR	REYONG	[REYONG_2]	JET	0	117	43	56
GONG_KEBYAR	REYONG	[REYONG_3]	JET	0	117	43	56
GONG_KEBYAR	REYONG	[REYONG_4]	JET	0	117	43	56
GONG_KEBYAR	REYONG		TICK_1_PANGGUL	0	118	46	90
GONG_KEBYAR	REYONG		TICK_2_PANGGUL	0	119	47	90
GONG_KEBYAR	TROMPONG		DANG0	0	100	0	45
GONG_KEBYAR	TROMPONG		DING1	0	101	0	49
GONG_KEBYAR	TROMPONG		DONG1	0	102	0	50
GONG_KEBYAR	TROMPONG		DENG1	0	103	0	52
GONG_KEBYAR	TROMPONG		DUNG1	0	104	0	56
GONG_KEBYAR	TROMPONG		DANG1	0	105	0	57
GONG_KEBYAR	TROMPONG		DING2	0	106	0	61
GONG_KEBYAR	TROMPONG		DONG2	0	107	0	62
GONG_KEBYAR	TROMPONG		DENG2	0	108	0	64
GONG_KEBYAR	TROMPONG		DUNG2	0	109	0	68
GONG_KEBYAR	TROMPONG		DANG2	0	110	0	69
GONG_KEBYAR	TROMPONG		BYONG	0	115	0	56
