instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	sample
GONG_KEBYAR	KANTILAN		DANG	1	MUTED		56	Kantilan Ombak DANG1_MUTED.wav
GONG_KEBYAR	KANTILAN		DING	2	MUTED		57	Kantilan Ombak DING2_MUTED.wav
GONG_KEBYAR	UGAL		DONG	0	OPEN		58	Ugal DONG0.wav
GONG_KEBYAR	UGAL		DENG	0	OPEN		59	Ugal DENG0.wav
GONG_KEBYAR	UGAL		DUNG	0	OPEN		60	Ugal DUNG0.wav
GONG_KEBYAR	UGAL		DANG	0	OPEN		61	Ugal DANG0.wav
GONG_KEBYAR	UGAL		DING	1	OPEN		62	Ugal DING1.wav
GONG_KEBYAR	UGAL		DONG	1	OPEN		63	Ugal DONG1.wav
GONG_KEBYAR	UGAL		DENG	1	OPEN		64	Ugal DENG1.wav
GONG_KEBYAR	UGAL		DUNG	1	OPEN		65	Ugal DUNG1.wav
GONG_KEBYAR	UGAL		DANG	1	OPEN		66	Ugal DANG1.wav
GONG_KEBYAR	UGAL		DING	2	OPEN		67	Ugal DING2.wav
GONG_KEBYAR	UGAL		DONG	0	MUTED		68	Ugal DONG0.wav
GONG_KEBYAR	UGAL		DENG	0	MUTED		69	Ugal DENG0.wav
GONG_KEBYAR	UGAL		DUNG	0	MUTED		70	Ugal DUNG0.wav
GONG_KEBYAR	UGAL		DANG	0	MUTED		71	Ugal DANG0.wav
GONG_KEBYAR	UGAL		DING	1	MUTED		72	Ugal DING1.wav
GONG_KEBYAR	UGAL		DONG	1	MUTED		73	Ugal DONG1.wav
GONG_KEBYAR	UGAL		DENG	1	MUTED		74	Ugal DENG1.wav
GONG_KEBYAR	UGAL		DUNG	1	MUTED		75	Ugal DUNG1.wav
GONG_KEBYAR	UGAL		DANG	1	MUTED		76	Ugal DANG1.wav
GONG_KEBYAR	UGAL		DING	2	MUTED		77	Ugal DING2.wav
GONG_KEBYAR	GENDERRAMBAT		DONG	0	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DING	1	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DING	2	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DONG	0	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DING	1	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DING	2	MUTED		127	
GONG_KEBYAR	REYONG	[REYONG_1]	DENG	0	OPEN		1	Reyong DENG0.wav
GONG_KEBYAR	REYONG	[REYONG_1]	DENGDING	0	OPEN		2	Reyong DENG0-DING1.wav
GONG_KEBYAR	REYONG	[REYONG_1]	DUNG	0	OPEN		3	Reyong DUNG0.wav
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DANG	0	OPEN		4	Reyong DANG0.wav
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DING	1	OPEN		5	Reyong DING1.wav
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DONG	1	OPEN		6	Reyong DONG1.wav
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DENG	1	OPEN		7	Reyong DENG1.wav
