instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	sample
GONG_KEBYAR	KANTILAN		DENG	1	MUTED		68	Kantilan Ombak DENG1_MUTED.wav
GONG_KEBYAR	KANTILAN		DUNG	1	MUTED		70	Kantilan Ombak DUNG1_MUTED.wav
GONG_KEBYAR	KANTILAN		DANG	1	MUTED		72	Kantilan Ombak DANG1_MUTED.wav
GONG_KEBYAR	KANTILAN		DING	2	MUTED		74	Kantilan Ombak DING2_MUTED.wav
GONG_KEBYAR	UGAL		DONG	0	OPEN		95	Ugal DONG0.wav
GONG_KEBYAR	UGAL		DENG	0	OPEN		96	Ugal DENG0.wav
GONG_KEBYAR	UGAL		DUNG	0	OPEN		97	Ugal DUNG0.wav
GONG_KEBYAR	UGAL		DANG	0	OPEN		98	Ugal DANG0.wav
GONG_KEBYAR	UGAL		DING	1	OPEN		99	Ugal DING1.wav
GONG_KEBYAR	UGAL		DONG	1	OPEN		100	Ugal DONG1.wav
GONG_KEBYAR	UGAL		DENG	1	OPEN		101	Ugal DENG1.wav
GONG_KEBYAR	UGAL		DUNG	1	OPEN		102	Ugal DUNG1.wav
GONG_KEBYAR	UGAL		DANG	1	OPEN		103	Ugal DANG1.wav
GONG_KEBYAR	UGAL		DING	2	OPEN		104	Ugal DING2.wav
GONG_KEBYAR	UGAL		DONG	0	MUTED		95	Ugal DONG0.wav
GONG_KEBYAR	UGAL		DENG	0	MUTED		96	Ugal DENG0.wav
GONG_KEBYAR	UGAL		DUNG	0	MUTED		97	Ugal DUNG0.wav
GONG_KEBYAR	UGAL		DANG	0	MUTED		98	Ugal DANG0.wav
GONG_KEBYAR	UGAL		DING	1	MUTED		99	Ugal DING1.wav
GONG_KEBYAR	UGAL		DONG	1	MUTED		100	Ugal DONG1.wav
GONG_KEBYAR	UGAL		DENG	1	MUTED		101	Ugal DENG1.wav
GONG_KEBYAR	UGAL		DUNG	1	MUTED		102	Ugal DUNG1.wav
GONG_KEBYAR	UGAL		DANG	1	MUTED		103	Ugal DANG1.wav
GONG_KEBYAR	UGAL		DING	2	MUTED		104	Ugal DING2.wav
GONG_KEBYAR	GENDERRAMBAT		DONG	0	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DING	1	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DING	2	OPEN		127	
GONG_KEBYAR	GENDERRAMBAT		DONG	0	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DING	1	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	MUTED		127	
GONG_KEBYAR	GENDERRAMBAT		DING	2	MUTED		127	
GONG_KEBYAR	REYONG	[REYONG_1]	DENG	0	OPEN		30	Reyong DENG0.wav
GONG_KEBYAR	REYONG	[REYONG_1]	DENGDING	0	OPEN		34	Reyong DENG0-DING1.wav
