instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	sample
GONG_KEBYAR	KANTILAN		DANG	1	MUTED		19	Kantilan Ombak DANG1_MUTED.wav
GONG_KEBYAR	KANTILAN		DING	2	MUTED		20	Kantilan Ombak DING2_MUTED.wav
GONG_KEBYAR	UGAL		DONG	0	OPEN		1	Ugal DONG0.wav
GONG_KEBYAR	UGAL		DENG	0	OPEN		2	Ugal DENG0.wav
GONG_KEBYAR	UGAL		DUNG	0	OPEN		3	Ugal DUNG0.wav
GONG_KEBYAR	UGAL		DANG	0	OPEN		4	Ugal DANG0.wav
GONG_KEBYAR	UGAL		DING	1	OPEN		5	Ugal DING1.wav
GONG_KEBYAR	UGAL		DONG	1	OPEN		6	Ugal DONG1.wav
GONG_KEBYAR	UGAL		DENG	1	OPEN		7	Ugal DENG1.wav
GONG_KEBYAR	UGAL		DUNG	1	OPEN		8	Ugal DUNG1.wav
GONG_KEBYAR	UGAL		DANG	1	OPEN		9	Ugal DANG1.wav
GONG_KEBYAR	UGAL		DING	2	OPEN		10	Ugal DING2.wav
GONG_KEBYAR	UGAL		DONG	0	MUTED		11	Ugal DONG0.wav
GONG_KEBYAR	UGAL		DENG	0	MUTED		12	Ugal DENG0.wav
GONG_KEBYAR	UGAL		DUNG	0	MUTED		13	Ugal DUNG0.wav
GONG_KEBYAR	UGAL		DANG	0	MUTED		14	Ugal DANG0.wav
GONG_KEBYAR	UGAL		DING	1	MUTED		15	Ugal DING1.wav
GONG_KEBYAR	UGAL		DONG	1	MUTED		16	Ugal DONG1.wav
GONG_KEBYAR	UGAL		DENG	1	MUTED		17	Ugal DENG1.wav
GONG_KEBYAR	UGAL		DUNG	1	MUTED		18	Ugal DUNG1.wav
GONG_KEBYAR	UGAL		DANG	1	MUTED		19	Ugal DANG1.wav
GONG_KEBYAR	UGAL		DING	2	MUTED		20	Ugal DING2.wav
GONG_KEBYAR	GENDERRAMBAT		DONG	0	OPEN		1	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	OPEN		2	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	OPEN		3	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	OPEN		4	
GONG_KEBYAR	GENDERRAMBAT		DING	1	OPEN		5	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	OPEN		6	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	OPEN		7	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	OPEN		8	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	OPEN		9	
GONG_KEBYAR	GENDERRAMBAT		DING	2	OPEN		10	
GONG_KEBYAR	GENDERRAMBAT		DONG	0	MUTED		11	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	MUTED		12	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	MUTED		13	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	MUTED		14	
