instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	rootnote	sample
GONG_KEBYAR	GENDERRAMBAT		DENG	2	OPEN		12	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	2	OPEN		13	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	2	OPEN		14	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	0	ABBREVIATED		15	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	ABBREVIATED		16	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	ABBREVIATED		17	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	ABBREVIATED		18	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DING	1	ABBREVIATED		19	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	ABBREVIATED		20	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	ABBREVIATED		21	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	ABBREVIATED		22	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	ABBREVIATED		23	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DING	2	ABBREVIATED		24	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	2	ABBREVIATED		25	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	2	ABBREVIATED		26	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	2	ABBREVIATED		27	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	2	ABBREVIATED		28	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	0	MUTED		29	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	0	MUTED		30	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	MUTED		31	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	0	MUTED		32	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DING	1	MUTED		33	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	1	MUTED		34	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	1	MUTED		35	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	MUTED		36	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	1	MUTED		37	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DING	2	MUTED		38	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DONG	2	MUTED		39	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DENG	2	MUTED		40	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DUNG	2	MUTED		41	GK GENDER ROOT	
GONG_KEBYAR	GENDERRAMBAT		DANG	2	MUTED		42	GK GENDER ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	DENG	0	OPEN		1	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	DUNG	0	OPEN		2	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DANG	0	OPEN		3	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DING	1	OPEN		4	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DONG	1	OPEN		5	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DENG	1	OPEN		6	GK REYONG ROOT	GK REYONG DENG3.wav
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DUNG	1	OPEN		7	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DANG	1	OPEN		8	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DING	2	OPEN		9	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DONG	2	OPEN		10	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_4]	DENG	2	OPEN		11	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_4]	DUNG	2	OPEN		12	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	DENG	0	ABBREVIATED		13	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	DUNG	0	ABBREVIATED		14	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DANG	0	ABBREVIATED		15	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DING	1	ABBREVIATED		16	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DONG	1	ABBREVIATED		17	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DENG	1	ABBREVIATED		18	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DUNG	1	ABBREVIATED		19	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DANG	1	ABBREVIATED		20	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DING	2	ABBREVIATED		21	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DONG	2	ABBREVIATED		22	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_4]	DENG	2	ABBREVIATED		23	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_4]	DUNG	2	ABBREVIATED		24	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	DENG	0	MUTED		25	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	DUNG	0	MUTED		26	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DANG	0	MUTED		27	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DING	1	MUTED		28	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DONG	1	MUTED		29	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DENG	1	MUTED		30	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_2,REYONG_3]	DUNG	1	MUTED		31	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DANG	1	MUTED		32	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DING	2	MUTED		33	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3,REYONG_4]	DONG	2	MUTED		34	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_4]	DENG	2	MUTED		35	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_4]	DUNG	2	MUTED		36	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	BYONG		OPEN		[1,3]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_2]	BYONG		OPEN		[4,6]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3]	BYONG		OPEN		[7,9]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_4]	BYONG		OPEN		[10,12]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	DENGDING		OPEN		[1,4]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	BYONG		ABBREVIATED	Byot	[13,15]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_2]	BYONG		ABBREVIATED	Byot	[16,18]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3]	BYONG		ABBREVIATED	Byot	[19,21]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_4]	BYONG		ABBREVIATED	Byot	[22,24]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	DENGDING		ABBREVIATED		[13,16]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	BYONG		MUTED	Jet	[25,27]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_2]	BYONG		MUTED	Jet	[28,30]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_3]	BYONG		MUTED	Jet	[31,33]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_4]	BYONG		MUTED	Jet	[34,36]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	DENGDING		MUTED		[28,31]	GK REYONG ROOT	
GONG_KEBYAR	REYONG	[REYONG_1]	STRIKE		TICK1	tick 1 panggul	37	GK REYONG TICK 1P	GK Reyong TICK_1_PANGGUL.wav
GONG_KEBYAR	REYONG	[REYONG_2]	STRIKE		TICK1	tick 1 panggul	38	GK REYONG TICK 1P	
GONG_KEBYAR	REYONG	[REYONG_3]	STRIKE		TICK1	tick 1 panggul	39	GK REYONG TICK 1P	
GONG_KEBYAR	REYONG	[REYONG_4]	STRIKE		TICK1	tick 1 panggul	40	GK REYONG TICK 1P	
GONG_KEBYAR	REYONG	[REYONG_1]	STRIKE		TICK2	tick 2 panggul	41	GK REYONG TICK 2P	GK Reyong TICK_2_PANGGUL.wav
GONG_KEBYAR	REYONG	[REYONG_2]	STRIKE		TICK2	tick 2 panggul	42	GK REYONG TICK 2P	
GONG_KEBYAR	REYONG	[REYONG_3]	STRIKE		TICK2	tick 2 panggul	43	GK REYONG TICK 2P	
GONG_KEBYAR	REYONG	[REYONG_4]	STRIKE		TICK2	tick 2 panggul	44	GK REYONG TICK 2P	
GONG_KEBYAR	TROMPONG		DANG	0	OPEN		1	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	1	OPEN		2	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	1	OPEN		3	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	1	OPEN		4	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	1	OPEN		5	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	1	OPEN		6	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	2	OPEN		7	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	2	OPEN		8	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DENG	2	OPEN		9	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DUNG	2	OPEN		10	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	2	OPEN		11	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DANG	0	ABBREVIATED		12	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DING	1	ABBREVIATED		13	GK TROMPONG ROOT	
GONG_KEBYAR	TROMPONG		DONG	1	ABBREVIATED		14	GK TROMPONG ROOT	
